transaction_id,bill_no,transaction_date,delivery_date,delivery_lead_time_days,customer_id,customer_pk,customer_code,customer_name,customer_channel,customer_city_prov,product_id,product_pk,product_code,product_name,product_size,category_id,category_name,quantity,selling_price,total_revenue,base_price,gross_profit,margin_percent,payment_type,payment_status,is_credit,is_paid,delivery_status,delivery_vehicle,is_delivered,salesman_name,salesman_id
7aefb791-4371-4a82-9e36-1193e23bb363,TRX-2026-00015,2026-03-11 00:00:00,2026-03-11,0.0,afa81622-a4a5-44a9-bb3c-adfd35dbd0b3,afa81622-a4a5-44a9-bb3c-adfd35dbd0b3,CORAT001,RM RATA RATA TAMBAK BAYAN,RESTORAN,"Sleman, Diy",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,3,6500,19500,5500,3000,15.384615384615385,CASH,PAID,False,True,PENDING,AB 8098 PK,False,AKHMAD KHOIRUL BARIUSYAFI,6505198126358583090
10643248-1f68-4cf9-8e44-7de3cb52ba9e,TRX-2026-00017,2026-03-11 00:00:00,2026-03-11,0.0,78642996-f32c-40cd-a0de-c1e6cef91861,78642996-f32c-40cd-a0de-c1e6cef91861,BOSUZ005,SUZUKI LAKSDA SUMBER BARU MOBIL,SHOWROOM_BENGKEL,"SLEMAN, DI Yogyakarta",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,2,11000,22000,5500,11000,50.0,CREDIT,PENDING,True,False,PENDING,AB 8098 PK,False,AKHMAD KHOIRUL BARIUSYAFI,6505198126358583090
136021f1-1d04-4f54-be06-6d43bb06b0da,TRX-2026-00018,2026-03-11 00:00:00,2026-03-11,0.0,4ab689f0-7741-4429-abe6-1e70fad47c2d,4ab689f0-7741-4429-abe6-1e70fad47c2d,BOSET002,SETIAWAN SPORING JL SOLO,BENGKEL,"SLEMAN, DI Yogyakarta",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,3,11000,33000,5500,16500,50.0,CASH,PAID,False,True,PENDING,AB 8098 PK,False,AKHMAD KHOIRUL BARIUSYAFI,6505198126358583090
37f95076-4086-4ac0-92e1-76898f4ed7a4,TRX-2026-00029,2026-03-11 00:00:00,,,b9ea21f1-aa37-4656-92a3-4832c486e306,b9ea21f1-aa37-4656-92a3-4832c486e306,BKRSI002,RSIY RUMAH SAKIT ISLAM PDHI,RUMAH_SAKIT,", ",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,6,9000,54000,5500,21000,38.88888888888889,CREDIT,PENDING,True,False,,,False,AKHMAD KHOIRUL BARIUSYAFI,6505198126358583090
e1a8e3a3-5f81-4143-9f43-02c96de2ed0d,TRX-2026-00030,2026-03-11 00:00:00,2026-03-11,0.0,94f45920-e9d8-46e2-9083-653c251dc581,94f45920-e9d8-46e2-9083-653c251dc581,BOBEN005,BENGKEL OMEGA VARIASI KALASAN,BENGKEL,"SLEMAN, DI Yogyakarta",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,6,12000,72000,5500,39000,54.166666666666664,CASH,PAID,False,True,ON_DELIVERY,,False,CHEKA,14780450042605853002
209ce646-e3b4-4dc4-a76d-843b8b5675a8,TRX-2026-00014,2026-03-11 00:00:00,2026-03-11,0.0,a151385b-82be-48cf-b784-f779f59e97a8,a151385b-82be-48cf-b784-f779f59e97a8,COBUP001,BU PARMI,TOKO,"Kabupaten Sleman, Daerah Istimewa Yogyakarta",fed83460-45db-4c15-9455-0a144fcd44e9,fed83460-45db-4c15-9455-0a144fcd44e9,CU-120,Cup 120 ML,120 ML,2,Cup,10,14000,140000,10000,40000,28.57142857142857,CASH,PAID,False,True,DELIVERED,AB 8839 UF,True,LATHIEF NUR S,8614204449232483068
e818d081-1f81-406f-ae02-5ad1f72ce123,TRX-2026-00019,2026-03-11 00:00:00,2026-03-11,0.0,9324c793-9e9e-4609-a95c-60298adf9bf6,9324c793-9e9e-4609-a95c-60298adf9bf6,BRTOK156,TOKO SUMBER REJEKI PANGKALAN AU,TOKO,"BANTUL, DI Yogyakarta",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,2,11000,22000,5500,11000,50.0,CASH,PAID,False,True,PENDING,AB 8098 PK,False,AKHMAD KHOIRUL BARIUSYAFI,6505198126358583090
569ba6b6-ee15-49fb-a013-df9d7cf05bb3,TRX-2026-00022,2026-03-11 00:00:00,2026-03-11,0.0,ec422fd9-9442-499b-bdf8-a2914a79a254,ec422fd9-9442-499b-bdf8-a2914a79a254,COTOK001,TOKO TIMBUL JAYA,TOKO,"Kabupaten Sleman, Daerah Istimewa Yogyakarta",fed83460-45db-4c15-9455-0a144fcd44e9,fed83460-45db-4c15-9455-0a144fcd44e9,CU-120,Cup 120 ML,120 ML,2,Cup,10,14000,140000,10000,40000,28.57142857142857,CASH,PAID,False,True,DELIVERED,AB 8839 UF,True,LATHIEF NUR S,8614204449232483068
d15710af-f317-4bff-aca1-9e1cc7da3ba1,TRX-2026-00020,2026-03-11 00:00:00,2026-03-11,0.0,8e88c75f-b411-4883-aafd-21bd9ceca09e,8e88c75f-b411-4883-aafd-21bd9ceca09e,BKCVE002,CV EKA MAJU,KANTOR_PERUSAHAAN,"BANTUL, DI Yogyakarta",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,2,7000,14000,5500,3000,21.428571428571427,CASH,PAID,False,True,PENDING,AB 8098 PK,False,AKHMAD KHOIRUL BARIUSYAFI,6505198126358583090
ee622f19-4d12-4976-932e-b06a9708fbc5,TRX-2026-00021,2026-03-11 00:00:00,2026-03-11,0.0,be2bc98d-8e9d-46ba-953e-1d539b38a1a0,be2bc98d-8e9d-46ba-953e-1d539b38a1a0,BKRSU001,RSU RIZKI AMALIA MEDIKA,RUMAH_SAKIT,"KULON PROGO, YOGYAKARTA",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,12,12000,144000,5500,78000,54.166666666666664,CASH,PAID,False,True,PENDING,AB 8664 CU,False,SUDARYONO,3821733552425883700
